叶老桂,name
浙商银行,company
CSOL,game
那不勒斯,organization
锡耶纳,organization
桑普,organization
热那亚,organization
加勒比海盗3：世界尽头》,movie
《变形金刚》,movie
美国,address
布鲁京斯研究所桑顿中国中心,organization
李成,name
研究部主任,position
unicef,organization
联合国儿童基金会,organization
罗马,organization
英雄联盟,game
吴湖帆,name
吴待秋,name
吴子深,name
冯超然,name
拉科,organization
交通银行,company
刘克峰,name
万通地产,company
设计总监,position
彭久洋,name
贝鲁斯科尼,name
收藏家,position
中国与欧盟海军,government
北约,government
赫塔,organization
interwetten,organization
雷池,address
“星展中国”南宁分行,company
新加坡星展银行,company
重庆,address
南京,address
北京,address
中山陵,scene
秦淮河,scene
工行,company
大学生,position
加州地方艺术馆,scene
河南省文物考古研究所,organization
文物队,organization
曹操,name
代理律师,position
切尔西,organization
罗马,organization
利物浦,organization
姚不仙,name
故宫,scene
泗水街,address
记者,position
丽泽金融商务区,address
罗马,organization
切沃,organization
乌迪内斯,organization
汉诺威96队,organization
卡尔斯鲁厄队,organization
德甲,organization
war3,game
《大众软件》,book
热那亚,organization
米兰,organization
仙游县委,position
《明堂丹令论》,book
蔡邕,name
松坪村,address
深康村,address
深圳市人大常委会,government
俄罗斯海军,government
《艺术与投资》,book
DOTA2,game
美国使馆,government
宝城,address
梁京,name
空军,government
美国使馆,government
江德力,name
（charles,name
新浪,company
签证官,position
好莱坞,organization
德沃夫,name
希尔顿,name
《模拟人生3》,game
BenBell,name
执行制作人,position
《爱丽斯梦游奇境》,book
LewisCarroll,name
记者,position
老板,position
方传柳,name
王梦菲,name
实习生,position
招行,company
大学生,position
天津,address
中国,address
私募股权投资基金协会,organization
DOTA2,game
南京,address
记者,position
街霸》,movie
汉堡,organization
汉诺威,organization
姜山,name
《莫斯科防务简讯》,book
moscowdefence,book
andtechnology,name
《危险关系》,movie
中博传媒,company
新加坡家乐电影,company
维冈,organization
米堡,organization
金石开,name
索斯盖特,name
热奥瓦尼,name
马龙,name
周东权,name
乐成中心,company
ceo,position
福州,address
浦发银行,company
记者,position
广州中院,government
布莱克本埃伍德公园,address
布莱克本,organization
莫耶斯,name
房山长阳镇,address
市土地整理储备中心,government
马力,name
记者,position
坎贝尔浓汤罐头,book
“大坎贝尔浓汤罐头”（蔬菜）,book
沃霍尔,name
波普,name
李济舟,name
刑警,position
深发展,company
《要塞》,game
Firefly,company
《孢子：银河冒险》,game
《孢子》,game
EA,company
香港贸易发展局,government
寰宇娱乐,company
骄阳电影,company
美亚电影,company
寰亚综艺,company
东方电影,company
张永和,name
艺术家,position
垦丁,address
DOTA,game
大众软件,book
金鳞全集,book
少妇白洁,book
冰峰魔恋,book
天地之间,book
曼联,organization
维拉,organization
《百姓地产》,book
《新老金融街争锋—,book
【吴海花】,name
中国国际城市化发展战略研究委员会,government
国瑞地产,company
国瑞购物中心,company
邮政局,government
李永春,name
经营业户,position
努曼西亚,organization
马竞,organization
招商银行,company
LOL,game
奈梅亨,organization
《沃尔沃》,game
《电子世界争霸战》,game
《电子世界争霸战,game
迪士尼,company
西藏,address
古如鲁益坚赞,name
古琼寺,scene
《生存之旅》,game
《杀破狼》,movie
警署,government
吴京,name
DOTA,game
CPL,organization
《剑侠情缘网络版3》,game
金山,company
伯南克,name
北京,address
每经,book
汤白露,name
记者,position
香格里拉大道,scene
中国,address
大使馆,address
艺术家,position
地产商,position
主持人,position
大师,position
博洛尼亚,organization
巴勒莫,organization
英国必发公司,company
新华社,organization
姚均芳,name
记者,position
益阳,address
曹鹏飞,name
蔡朝阳,name
比利,name
海豚馆,scene
勒沃库森队,organization
拜仁慕尼黑队,organization
市房管,government
星际争霸2,game
交行,company
光大,company
招行,company
维蒂奇,name
吉拉蒂诺,name
俄罗斯巴西,organization
荷兰阿根廷,organization
詹俊,name
广东省社科院,government
黎友焕,name
学者,position
教授,position
visa,company
《红色警戒》,game
《华胥梦天记》,book
住房和城乡建设部科学技术委员会,government
常务副主任,position
WAR3,game
CPL,organization
选手,position
银联上海总部,company
记者,position
《战地：叛逆连队2》,game
DICE,company
米德尔,organization
博尔顿,organization
藏家,position
《墨攻》,movie
《麦田》,movie
范冰冰,name
记者,position
梅塔利斯特,organization
奥林匹亚科斯,organization
《神鬼传奇》,movie
bet365,company
《模拟人生3》,game
制作人,position
新加坡,address
何丽丽,name
文华财经,company
编辑,position
叶问,movie
苏乞儿,movie
《游戏作弊》,book
建筑师,position
丽泽商务区,scene
全国人大,government
蒋正华,name
副委员长,position
Gameinformer,book
南美区,address
阿根廷,organization
巴西,organization
乌拉圭,organization
姜山,name
招行,company
平安,company
央行,government
拜仁,organization
姜山,name
北京翰海,address
西昌市太和镇,address
安宁河,address
《暗黑破坏神3》,game
央行,government
招行,company
工,company
农,company
中,company
建,company
深发展,company
国际米兰,organization
皮萨罗,name
前腰,position
携程国旅公司,company
《半条命2》,game
夏威夷水岸,address
广发行,company
《查理的战争》,movie
西摩尔·霍夫曼,name
索尼,company
男配角,position
银监会,government
《关于进一步规范信用卡业务的通知》,book
heat,movie
《汉之云》,movie
《剑蝶》,movie
马楚成,name
导演,position
练习星际2,game
Infi,name
中国房地产及住宅研究会人居环境委员会,government
内蒙古人民政府,government
港口城,address
费耶诺德,organization
沃尔贝克,name
（gertjanverbeek）,name
主教练,position
南海子郊野公园,scene
凉水河,scene
招行东直门支行,company
宁波,address
中国人民银行,government
龚强华,name
西汉姆,organization
西山,address
北京,address
国家税务总局,government
爱情公寓,movie
《爱情公寓》,movie
炒汇公司,company
记者,position
业务经理,position
渣打银行,company
stonecastle公司,company
维拉,organization
关小刀,name
霍芬海姆,name
西江,address
凯里,address
朗德苗寨,scene
朗德,scene
国米,organization
莱切,organization
球员,position
北京,address
《新闻纵横》,book
张晶,name
中广网,company
记者,position
《反恐精英：半条命》,game
(HalfLife),game
《死亡空间2》,game
伊萨克克拉克,name
工程师,position
郑州市城市规划局,organization
逯军,name
副局长,position
记者,position
苏打水温泉,scene
“爱之山”mounttearoha,scene
美国空军研究实验室,government
